rel_path,ok,mos,mos_0_100,duration_s,input_sr,channels,error
template_236-no13x838-no.mp3,True,3.1171875,52.9296875,28.38,24000,1,
template_237-no13x568-no.mp3,True,2.958984375,48.974609375,29.92,24000,1,
template_238-no13x863-no.mp3,True,2.630859375,40.771484375,19.92,24000,1,
template_239-no17x679-da.mp3,True,3.39453125,59.86328125,21.56,24000,1,
template_24-no18x130-no.mp3,True,2.279296875,31.982421875,25.26,24000,1,
template_240-no16x849-no.mp3,True,3.123046875,53.076171875,30.42,24000,1,
template_241-no11x004-no.mp3,True,2.947265625,48.681640625,34.58,24000,1,
template_242-no25x337-no.mp3,True,3.06640625,51.66015625,25.4,24000,1,
template_243-no15x782-no.mp3,True,2.822265625,45.556640625,28.78,24000,1,
template_244-no11x193-no.mp3,True,2.880859375,47.021484375,30.6,24000,1,
template_245-no22xx58-no.mp3,True,2.7890625,44.7265625,32.72,24000,1,
template_246-no14x078-no.mp3,True,2.921875,48.046875,31.8,24000,1,
template_247-no16x741-fi.mp3,True,3.20703125,55.17578125,27.1,24000,1,
template_248-no14x270-no.mp3,True,3.263671875,56.591796875,24.2,24000,1,
template_249-no13x153-no.mp3,True,3.271484375,56.787109375,30.36,24000,1,
template_25-no15x444-no.mp3,True,3.181640625,54.541015625,24.06,24000,1,
template_250-no16x741-no.mp3,True,2.556640625,38.916015625,39.98,24000,1,
template_251-no15x894-no.mp3,True,3.169921875,54.248046875,20.48,24000,1,
template_252-no14x585-no.mp3,True,3.126953125,53.173828125,25.82,24000,1,
template_253-no15x906-no.mp3,True,3.193359375,54.833984375,28.56,24000,1,
template_254-no11x859-no.mp3,True,3.337890625,58.447265625,25.04,24000,1,
template_255-no14x258-no.mp3,True,2.650390625,41.259765625,27.42,24000,1,
template_256-no99x698-no.mp3,True,3.04296875,51.07421875,24.74,24000,1,
template_257-no10x637-no.mp3,True,2.990234375,49.755859375,26.98,24000,1,
template_258-no17x547-no.mp3,True,2.90234375,47.55859375,22.84,24000,1,
template_259-no16x575-no.mp3,True,3.1875,54.6875,24.26,24000,1,
template_26-no14x907-no.mp3,True,3.443359375,61.083984375,25.68,24000,1,
template_260-no13x838-no.mp3,True,3.13671875,53.41796875,39.98,24000,1,
template_261-no12x531-no.mp3,True,2.853515625,46.337890625,30.42,24000,1,
template_262-no15x906-no.mp3,True,3.267578125,56.689453125,27.64,24000,1,
template_263-no12x804-no.mp3,True,2.82421875,45.60546875,31.5,24000,1,
template_264-no19x590-fi.mp3,True,3.1015625,52.5390625,27.9,24000,1,
template_265-no14x612-no.mp3,True,2.31640625,32.91015625,31.24,24000,1,
template_266-no15x450-de.mp3,True,3.142578125,53.564453125,25.66,24000,1,
template_267-no14x468-no.mp3,True,3.02734375,50.68359375,25.76,24000,1,
template_268-no21x009-no.mp3,True,2.791015625,44.775390625,40.0,24000,1,
template_269-no11x369-no.mp3,True,2.8828125,47.0703125,24.16,24000,1,
template_27-no10x306-no.mp3,True,2.880859375,47.021484375,27.2,24000,1,
template_270-no21x146-no.mp3,True,3.08203125,52.05078125,30.82,24000,1,
template_271-no20x226-no.mp3,True,3.03515625,50.87890625,25.48,24000,1,
template_272-no21x009-no.mp3,True,3.228515625,55.712890625,29.92,24000,1,
template_273-no15x598-no.mp3,True,2.9453125,48.6328125,32.78,24000,1,
template_274-no14x854-no.mp3,True,3.564453125,64.111328125,40.0,24000,1,
template_275-no10x716-da.mp3,True,2.806640625,45.166015625,25.12,24000,1,
template_276-no19x740-de.mp3,True,2.357421875,33.935546875,33.66,24000,1,
template_277-no15x094-no.mp3,True,3.017578125,50.439453125,29.6,24000,1,
template_278-no14x307-no.mp3,True,2.97265625,49.31640625,25.7,24000,1,
template_279-no12x887-no.mp3,True,2.7109375,42.7734375,24.14,24000,1,
template_28-no18x633-no.mp3,True,3.052734375,51.318359375,24.66,24000,1,
template_280-no22x582-no.mp3,True,2.451171875,36.279296875,30.18,24000,1,
template_281-no18x321-no.mp3,True,2.8203125,45.5078125,21.44,24000,1,
template_282-no11x004-no.mp3,True,3.0546875,51.3671875,28.62,24000,1,
template_283-no16x588-no.mp3,True,3.306640625,57.666015625,27.76,24000,1,
template_284-no12x527-no.mp3,True,2.90625,47.65625,26.2,24000,1,
template_285-no14xx91-da.mp3,True,2.921875,48.046875,26.38,24000,1,
template_286-no11x895-no.mp3,True,3.248046875,56.201171875,26.02,24000,1,
template_287-no15x743-no.mp3,True,2.990234375,49.755859375,25.58,24000,1,
template_288-no10x101-no.mp3,True,2.9375,48.4375,27.64,24000,1,
template_289-no12x824-sv.mp3,True,3.220703125,55.517578125,24.4,24000,1,
template_29-no13x083-no.mp3,True,3.2265625,55.6640625,26.76,24000,1,
template_290-no12x061-no.mp3,True,2.60546875,40.13671875,40.0,24000,1,
template_291-no10x637-sv.mp3,True,3.400390625,60.009765625,32.26,24000,1,
template_292-no17xx44-no.mp3,True,2.978515625,49.462890625,28.78,24000,1,
template_293-no21x009-fi.mp3,True,3.001953125,50.048828125,29.0,24000,1,
template_294-no14x560-no.mp3,True,2.9375,48.4375,29.64,24000,1,
template_295-no19x590-no.mp3,True,3.326171875,58.154296875,29.86,24000,1,
template_296-no13x312-no.mp3,True,3.328125,58.203125,24.16,24000,1,
template_297-no14x468-fi.mp3,True,2.833984375,45.849609375,27.04,24000,1,
template_298-no98x413-no.mp3,True,2.79296875,44.82421875,35.64,24000,1,
template_299-no13x312-no.mp3,True,3.3203125,58.0078125,21.84,24000,1,
template_3-no14x651-no.mp3,True,2.8046875,45.1171875,23.56,24000,1,
template_30-no20x739-no.mp3,True,2.8671875,46.6796875,28.24,24000,1,
template_300-no14x270-no.mp3,True,2.90234375,47.55859375,34.28,24000,1,
template_301-no12x623-no.mp3,True,3.14453125,53.61328125,25.26,24000,1,
template_302-no12x729-da.mp3,True,2.9375,48.4375,20.88,24000,1,
template_303-no14x078-no.mp3,True,2.458984375,36.474609375,31.44,24000,1,
template_304-no15x450-sv.mp3,True,3.361328125,59.033203125,31.02,24000,1,
template_305-no13x831-da.mp3,True,3.263671875,56.591796875,22.88,24000,1,
template_306-no16x534-no.mp3,True,2.9375,48.4375,24.3,24000,1,
template_307-no17xx44-no.mp3,True,2.681640625,42.041015625,27.38,24000,1,
template_308-no15x458-no.mp3,True,3.244140625,56.103515625,25.24,24000,1,
template_309-no17x703-no.mp3,True,2.685546875,42.138671875,31.56,24000,1,
template_31-no19x442-de.mp3,True,3.2265625,55.6640625,24.48,24000,1,
template_310-no11x156-no.mp3,True,2.83984375,45.99609375,23.2,24000,1,
template_311-no17x567-no.mp3,True,2.943359375,48.583984375,22.52,24000,1,
